49,14,45,55,60,63,145,203,254,297,384
11,25,52,152,206,296,357,438,511,544,639
1,33,149,166,280,371,398,507,576,665,748
48,79,157,265,346,384,464,582,662,757,789
30,90,252,358,404,463,529,621,680,793,846
47,148,258,389,461,546,642,695,732,842,922
6,158,294,473,487,634,713,732,817,895,1014
13,249,358,477,529,697,760,796,855,946,1077
24,310,423,511,589,719,775,852,933,1003,1142
42,357,463,577,613,759,840,919,962,1101,1144
41,394,530,593,665,761,910,932,985,1138,1189
15,464,538,603,698,832,926,945,1051,1140,1267
20,511,572,676,780,875,959,995,1141,1223,1360
32,589,640,739,859,897,1030,1037,1228,1310,1429
44,593,694,793,867,990,1057,1128,1295,1359,1465
28,675,726,797,935,1036,1068,1152,1367,1422,1539
26,755,826,868,979,1050,1150,1245,1412,1508,1598
25,828,904,996,1072,1134,1195,1337,1506,1567,1679
16,881,965,1059,1104,1183,1236,1427,1588,1651,1751
22,918,1057,1105,1164,1199,1335,1475,1620,1709,1833
38,951,1076,1124,1263,1300,1413,1477,1680,1747,1854
35,1042,1167,1258,1348,1418,1468,1569,1751,1818,1923
3,1115,1200,1289,1425,1495,1557,1664,1811,1834,2022
29,1164,1227,1352,1449,1580,1670,1708,1814,1903,2055
36,1256,1279,1448,1536,1625,1713,1757,1819,1977,2122
8,1326,1332,1502,1537,1634,1771,1823,1903,2048,2175
23,1389,1459,1542,1562,1665,1774,1920,2004,2072,2196
43,1428,1540,1596,1653,1735,1870,1981,2006,2098,2249
12,1516,1575,1640,1683,1813,1911,1982,2042,2101,2334
46,1606,1644,1730,1797,1884,1929,2036,2080,2153,2413
31,1685,1734,1806,1900,1973,2046,2079,2138,2251,2460
5,1781,1849,1934,1964,2037,2081,2170,2174,2335,2520
34,1828,1866,1964,2013,2089,2186,2229,2302,2405,2551
18,1924,1989,2012,2081,2186,2213,2295,2378,2460,2603
9,1966,2043,2083,2087,2215,2292,2365,2449,2500,2633
21,1996,2078,2161,2188,2237,2293,2403,2485,2546,2655
7,2054,2144,2168,2236,2331,2425,2431,2532,2602,2730
10,2075,2160,2263,2334,2392,2454,2458,2558,2619,2789
17,2126,2201,2339,2351,2461,2520,2550,2560,2703,2876
4,2217,2265,2376,2390,2472,2537,2588,2660,2710,2963
50,2301,2399,2401,2470,2571,2594,2668,2702,2785,2967
37,2395,2416,2469,2487,2616,2623,2703,2780,2846,2970
27,2400,2497,2553,2582,2627,2647,2784,2798,2885,3043
40,2412,2567,2581,2663,2753,2803,2831,2892,2927,3071
14,2490,2585,2631,2706,2787,2805,2861,2905,3003,3092
39,2542,2613,2671,2782,2789,2832,2957,2963,3090,3121
45,2592,2665,2735,2818,2862,2928,2977,3046,3102,3126
33,2649,2730,2797,2886,2956,2982,3057,3087,3146,3157
19,2676,2801,2896,2904,2966,3000,3085,3116,3149,3196
2,2753,2850,2913,2942,3009,3107,3135,3156,3197,3200
